nationality,destination_country,visa_type,gender,age,education_level,employment_status,travel_purpose,language_proficiency,annual_income,bank_balance,travel_history_count,previous_rejections,accommodation_proof,return_ticket,invitation_letter,health_insurance,approval_status,processing_days
Tunisia,Portugal,Transit,Male,47,Bachelor's Degree,Private Sector,Permanent Residence,Advanced,16823.39,10553.19,0,0,1,1,0,1,1,11
Bulgaria,South Africa,Work,Male,67,No Formal Education,Retired,Conference,Native,14755.35,30754.23,1,0,1,0,1,1,0,25
Chile,Australia,Family/Spouse,Male,48,Bachelor's Degree,Private Sector,Family Visit,None,9807.62,8698.5,5,0,1,1,0,1,1,29
Qatar,Canada,Tourist,Female,58,Bachelor's Degree,Unemployed,Work Assignment,Intermediate,34239.05,35712.42,3,0,1,1,0,1,0,22
Tunisia,Turkey,Tourist,Female,68,Bachelor's Degree,Private Sector,Family Visit,Native,15765.57,36120.46,0,0,1,1,1,1,0,10
Ecuador,Portugal,Family/Spouse,Female,64,Associate Degree,Government,Tourism,Native,11366.23,29508.08,0,0,1,1,0,1,1,23
Argentina,Portugal,Tourist,Male,60,High School,Retired,Education,Advanced,13916.32,12637.06,7,0,0,1,1,0,0,10
Algeria,Taiwan,Transit,Female,72,Bachelor's Degree,Self-Employed,Medical,Native,29053.52,30369.09,0,0,1,1,0,1,0,6
Pakistan,China,Tourist,Male,75,Bachelor's Degree,Self-Employed,Permanent Residence,Native,73165.96,47356.71,0,0,1,1,1,1,0,25
Hungary,South Africa,Tourist,Female,68,Bachelor's Degree,Self-Employed,Tourism,None,7967.65,12208.77,0,0,1,1,0,1,1,12
Indonesia,Germany,Family/Spouse,Male,51,Bachelor's Degree,Private Sector,Medical,Intermediate,435364.13,1013878.88,0,1,1,1,1,1,0,25
Vietnam,Canada,Business,Female,27,High School,Private Sector,Work Assignment,Native,19107.92,53445.79,0,0,1,1,0,1,1,22
Hungary,France,Transit,Male,46,No Formal Education,Government,Family Visit,Advanced,69842.76,187249.53,1,0,0,1,0,1,1,11
Ukraine,Austria,Business,Male,70,Associate Degree,Retired,Work Assignment,Basic,41193.09,10293.21,2,0,1,1,1,1,1,14
Yemen,Malaysia,Immigrant/PR,Male,75,Bachelor's Degree,Self-Employed,Conference,Advanced,7624.45,21875.39,4,0,1,1,0,1,0,20
Bangladesh,Denmark,Student,Female,69,High School,Retired,Family Visit,None,3314.98,3932.81,2,0,1,1,0,0,0,26
Iraq,Portugal,Business,Male,46,High School,Unemployed,Work Assignment,Intermediate,24137.02,5141.02,2,0,1,1,1,1,0,18
Sri Lanka,Netherlands,Work,Female,58,Master's Degree,Student,Tourism,Advanced,18624.57,33218.38,6,0,1,1,1,0,1,25
Afghanistan,Belgium,Transit,Female,76,Professional Degree,Private Sector,Work Assignment,Basic,14572.7,5332.76,2,0,1,1,1,0,0,27
Bulgaria,Switzerland,Tourist,Female,46,High School,Student,Business Meeting,Basic,5532.23,9879.38,5,0,1,1,1,1,0,8
Tunisia,Turkey,Student,Female,58,High School,Self-Employed,Medical,Native,26780.71,60476.57,3,0,1,1,0,1,0,9
Poland,India,Immigrant/PR,Female,59,Professional Degree,Private Sector,Tourism,Intermediate,10968.29,24542.56,7,0,0,1,0,1,1,16
Sri Lanka,China,Business,Male,73,Bachelor's Degree,Government,Permanent Residence,Basic,25604.42,70199.36,5,0,1,1,1,1,0,16
Thailand,Norway,Tourist,Male,37,High School,Unemployed,Work Assignment,Intermediate,27044.63,63015.7,8,0,1,1,0,1,1,14
Thailand,United Kingdom,Business,Male,48,Master's Degree,Retired,Conference,Native,9697.44,1779.19,4,0,1,1,0,0,1,12
Iraq,Spain,Immigrant/PR,Female,60,Bachelor's Degree,Government,Medical,Basic,24256.11,67604.31,2,0,1,1,1,1,1,60
Turkey,South Korea,Immigrant/PR,Male,41,PhD,Private Sector,Permanent Residence,Basic,15831.27,9709.8,0,0,1,1,0,1,0,23
Indonesia,New Zealand,Immigrant/PR,Male,57,PhD,Self-Employed,Family Visit,Intermediate,27879.18,40183.68,4,0,1,1,1,1,1,47
Qatar,Spain,Immigrant/PR,Male,43,High School,Private Sector,Tourism,Native,145385.14,347266.45,2,0,1,1,1,1,1,33
Syria,United Kingdom,Work,Male,36,Associate Degree,Self-Employed,Education,Basic,59723.7,6890.32,11,0,1,1,1,1,1,38
Syria,Belgium,Business,Male,67,Associate Degree,Private Sector,Education,Native,19796.96,20388.14,2,0,1,1,1,0,1,27
India,Austria,Tourist,Female,36,Master's Degree,Retired,Conference,Native,52475.46,115059.27,0,0,1,1,1,1,1,19
Australia,Thailand,Transit,Female,29,Bachelor's Degree,Private Sector,Work Assignment,Advanced,18063.1,13970.31,6,0,1,1,1,0,1,1
Myanmar,Norway,Immigrant/PR,Female,64,Bachelor's Degree,Self-Employed,Work Assignment,Basic,51984.72,79668.99,4,0,1,1,1,1,1,33
Australia,Switzerland,Transit,Female,71,Bachelor's Degree,Self-Employed,Business Meeting,Intermediate,175746.13,133447.18,1,0,1,1,0,0,1,7
Ecuador,Australia,Business,Female,38,High School,Student,Education,Intermediate,340677.34,428268.16,0,0,1,0,0,1,1,26
Mexico,Turkey,Student,Female,58,High School,Private Sector,Medical,Advanced,5826.87,11266.65,0,0,0,1,0,1,1,9
Turkey,Spain,Work,Female,78,Master's Degree,Private Sector,Tourism,Advanced,107859.23,148652.89,1,0,0,1,1,1,1,35
Saudi Arabia,South Korea,Immigrant/PR,Male,43,Associate Degree,Government,Medical,Advanced,27722.06,30047.57,2,0,1,1,1,1,0,26
Myanmar,Schengen (EU),Family/Spouse,Male,66,High School,Unemployed,Medical,Native,105595.42,289416.94,2,0,1,1,0,1,1,23
Ecuador,Canada,Business,Female,65,Bachelor's Degree,Self-Employed,Business Meeting,None,10137.74,8912.74,2,0,1,0,1,1,1,24
Pakistan,Germany,Student,Female,43,Bachelor's Degree,Government,Medical,None,34753.3,63998.16,3,0,1,1,0,1,1,31
Nepal,Ireland,Business,Female,53,Master's Degree,Government,Conference,Intermediate,90002.45,182223.13,8,0,1,0,0,1,1,15
UAE,UAE,Student,Male,63,Bachelor's Degree,Private Sector,Education,Native,50635.48,45026.12,2,0,0,1,0,1,1,9
Iran,Spain,Immigrant/PR,Female,34,Bachelor's Degree,Self-Employed,Business Meeting,Basic,42581.71,86984.24,0,0,1,1,1,1,1,46
South Korea,Italy,Work,Female,67,Master's Degree,Unemployed,Work Assignment,Intermediate,11432.61,30485.01,2,0,1,1,1,1,1,29
Poland,Singapore,Business,Male,69,Master's Degree,Retired,Family Visit,Basic,78079.31,27856.82,0,0,1,1,0,0,1,4
Malaysia,Canada,Transit,Male,61,No Formal Education,Retired,Tourism,Basic,10368.64,29795.37,4,0,1,1,1,1,0,13
Philippines,Belgium,Transit,Female,52,Professional Degree,Student,Medical,Basic,16299.02,47436.62,6,0,1,1,0,1,0,10
Algeria,Netherlands,Transit,Female,52,Associate Degree,Self-Employed,Tourism,None,44655.59,99676.48,0,0,0,1,0,1,0,15
Nepal,Malaysia,Work,Male,78,Master's Degree,Government,Tourism,Basic,42725.39,24146.69,1,0,1,0,1,0,1,10
Thailand,New Zealand,Transit,Female,65,No Formal Education,Private Sector,Conference,Intermediate,9984.8,11906.05,0,0,0,1,0,1,0,10
Morocco,India,Family/Spouse,Female,56,High School,Private Sector,Tourism,Basic,17949.8,5683.15,5,1,1,1,1,1,0,19
Bulgaria,Norway,Work,Male,64,Bachelor's Degree,Student,Education,Intermediate,34330.89,68595.94,0,0,0,1,1,1,0,18
Canada,Turkey,Tourist,Male,61,Master's Degree,Private Sector,Family Visit,Intermediate,51031.06,148386.13,0,0,1,1,1,1,1,3
Canada,Portugal,Family/Spouse,Male,35,High School,Government,Medical,Intermediate,14262.59,20254.85,0,0,1,1,1,1,1,17
South Korea,New Zealand,Family/Spouse,Female,60,Bachelor's Degree,Self-Employed,Tourism,Advanced,10809.77,1387.28,1,0,0,1,0,0,0,18
Romania,Malaysia,Student,Female,62,PhD,Private Sector,Tourism,Basic,164716.34,432513.89,3,0,1,1,0,1,1,3
Canada,UAE,Business,Female,75,Bachelor's Degree,Private Sector,Business Meeting,None,15846.47,31605.19,1,0,1,0,1,0,0,5
Malaysia,South Africa,Transit,Female,37,Professional Degree,Unemployed,Tourism,Advanced,17864.04,22276.34,2,0,1,1,1,1,1,6
Russia,Norway,Tourist,Male,28,Associate Degree,Student,Work Assignment,Advanced,20100.7,35785.34,3,0,1,1,0,1,1,15
